"Authors","Author full names","Author(s) ID",Title,"Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract",Keywords,"Publisher","Language of Original Document","Document Type","Publication Stage","Open Access","Source","EID"
"Feng L.; Jiang X.; Sun Y.; Niyato D.; Zhou Y.; Gu S.; Yang Z.; Yang Y.; Zhou F.","Feng, Lei (55844978300); Jiang, Xiaoyi (58558914500); Sun, Yao (57192200363); Niyato, Dusit (8919714700); Zhou, Yu (55718549800); Gu, Shiyi (59174211900); Yang, Zhixiang (57216263330); Yang, Yang (56424225000); Zhou, Fanqin (56027064900)","55844978300; 58558914500; 57192200363; 8919714700; 55718549800; 59174211900; 57216263330; 56424225000; 56027064900","Resource Allocation for Metaverse Experience Optimization: A Multi-Objective Multi-Agent Evolutionary Reinforcement Learning Approach","2025","IEEE Transactions on Mobile Computing","24","4","","3473","3488","15","1","10.1109/TMC.2024.3509680","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000436955&doi=10.1109%2fTMC.2024.3509680&partnerID=40&md5=b039f9ec03c192b06a91396b14041272","In the Metaverse, real-time, concurrent services such as virtual classrooms and immersive gaming require local graphic rendering to maintain low latency. However, the limited processing power and battery capacity of user devices make it challenging to balance Quality of Experience (QoE) and terminal energy consumption. In this paper, we investigate a multi-objective optimization problem (MOP) regarding power control and rendering capacity allocation by formulating it as a multi-objective optimization problem. This problem aims to minimize energy consumption while maximizing Meta-Immersion (MI), a metric that integrates objective network performance with subjective user perception. To solve this problem, we propose a Multi-Objective Multi-Agent Evolutionary Reinforcement Learning with User-Object-Attention (M2ERL-UOA) algorithm. The algorithm employs a prediction-driven evolutionary learning mechanism for multi-agents, coupled with optimized rendering capacity decisions for virtual objects. The algorithm can yield a superior Pareto front that attains the Nash equilibrium. Simulation results demonstrate that the proposed algorithm can generate Pareto fronts, effectively adapts to dynamic user preferences, and significantly reduces decision-making time compared to several benchmarks. © 2024 IEEE. All rights reserved.","energy consumption; Meta-Immersion; Metaverse experience; multi-objective optimization; resource allocation","Institute of Electrical and Electronics Engineers Inc.","English","Article","Final","","Scopus","2-s2.0-86000436955"
"Dang D.; Nguyen K.K.","Dang, Do (58813080400); Nguyen, Kim Khoa (55946080700)","58813080400; 55946080700","Link-Weight Adjustment for Efficient Link-State Multicast Routing with MARL","2023","Proceedings - IEEE Global Communications Conference, GLOBECOM","","","","3512","3517","5","0","10.1109/GLOBECOM54140.2023.10436952","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187351619&doi=10.1109%2fGLOBECOM54140.2023.10436952&partnerID=40&md5=8c31c3c590ccb276c172d71e060d1ef8","Along with the rapid increase of new applications involving multiple participants, such as metaverse, multicast traffic engineering (TE) has recently attracted significant attention. The optimal multicast TE for offered traffic can be obtained using link-state routing protocols with a proper link weight setting. However, optimizing the link weights for such link-state multicast routing protocols according to the offered traffic in real-time is a very challenging problem. In this paper, we provide an Integer Linear Programming (ILP) formulation for finding the link metrics that allow link-state multicast routing protocols to achieve optimal traffic engineering. To meet the real-time requirement, we propose a Multi-Agent Reinforcement Learning (MARL) solution to the problem of link weights adjustment to achieve efficient multicast routing in a distributed fashion. In our design, the agents collaborate and communicate with the others in the local region and learn from their experiences to determine the best action to minimize the overall network cost. Our proposed solution is evaluated on a simulation of various traffic profiles and compared with the traditional manually configured link weights and a Genetic Algorithm (GA)-based heuristic solution. Experimental results show the advantages of our solutions in reducing network cost, and suggest the potential of using MARL in achieving efficient multicast traffic engineering. © 2023 IEEE.","MARL; Multicast routing","Institute of Electrical and Electronics Engineers Inc.","English","Conference paper","Final","","Scopus","2-s2.0-85187351619"
"Luan Z.; Jiang Y.; Lv J.; Yi B.; Li K.","Luan, Zeyu (57226833546); Jiang, Yong (55733670600); Lv, Jianhui (55889513000); Yi, Bo (57194626672); Li, Kejun (59445988200)","57226833546; 55733670600; 55889513000; 57194626672; 59445988200","VRRC: Empowering Metaverse-Infused Driving Experience for Multiplatoon Vehicles Through IoRT","2024","IEEE Internet of Things Journal","11","20","","32416","32428","12","0","10.1109/JIOT.2024.3422394","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198389845&doi=10.1109%2fJIOT.2024.3422394&partnerID=40&md5=f719cb12326981576f9c7640a0c1d655","The emergence of metaverse applications and services heralds a new era of immersive driving experiences in future vehicular ad hoc networks (VANETs). This unprecedented metaverse-infused driving experience, however, requires high-throughput transmissions for real-time high-quality 360° video streaming, which challenges today's limited bandwidth resources provisioned by wireless communication infrastructure. To this end, this article introduces virtual road, real connection (VRRC), a novel framework for enhancing the metaverse-infused driving experience in VANET through the Internet of Robotic Things (IoRT). In the face of limited bandwidth resources, VRRC effectively addresses the challenge of high-throughput demand from two key perspectives. First, VRRC reduces redundant transmission by implementing a graph neural network (GNN)-based vehicle clustering method for dynamic multicast group formation, taking into account both the geographical status of vehicles and their communication patterns. Second, VRRC aggregates bandwidth resources across various channels by employing a multiagent reinforcement learning (MARL)-based multipath packet scheduling policy to adapt to heterogeneous channel conditions and dynamic vehicular mobility. Extensive experiments with real-world vehicular traces validate the effectiveness of VRRC and demonstrate its outperformance in reducing redundant traffic by 54% and improving overall throughput by 28%. VRRC represents a substantial leap forward in the integration of the metaverse experience into VANET. © 2024 IEEE.","Graph neural networks (GNNs); metaverse; multipath TCP (MPTCP); reinforcement learning; vehicular ad hoc network (VANET)","Institute of Electrical and Electronics Engineers Inc.","English","Article","Final","","Scopus","2-s2.0-85198389845"
"Wang P.; Li J.; Li H.; Liu H.; Li Q.; Zhao H.; Tang J.; Tang F.","Wang, Ping (59363860700); Li, Jian (59364413200); Li, Haiguang (55961381600); Liu, Haoting (34882031200); Li, Qing (56411289900); Zhao, Hui (59314878300); Tang, Junlong (59364413300); Tang, Fujie (59364525800)","59363860700; 59364413200; 55961381600; 34882031200; 56411289900; 59314878300; 59364413300; 59364525800","Research on Intelligent Applications of Metaverse Battlefield for Human-Computer Interaction","2024","Lecture Notes in Electrical Engineering","1256 LNEE","","","613","620","7","0","10.1007/978-981-97-7139-4_83","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206154447&doi=10.1007%2f978-981-97-7139-4_83&partnerID=40&md5=c2ace7249d467a6e059cfba55c665636","This study aims to utilize virtual reality technology to build a highly realistic metaverse battlefield based on Cesium for Unreal and Unreal Engine 5. By leveraging 3DGS rendering, Open-Sora 1.0 object-driven, and NLP multimodal interaction technologies, it achieves virtual reality multi-agent tactical confrontation decision-making deduction. The MADDPG algorithm demonstrates excellent performance in multi-agent confrontation tasks, with a win rate consistently above 95%. This research provides an efficient human-computer interaction interface (HCI) and immersive experience, holding significant application value for enhancing the tactical decision-making capabilities of military personnel. © Beijing KeCui Man-Machine-Environment System Engineering Technology Research Academy 2024.","MADDPG Algorithm; Metaverse Battlefield; Unreal Engine 5","Springer Science and Business Media Deutschland GmbH","English","Conference paper","Final","","Scopus","2-s2.0-85206154447"
"Zhang T.; Tian Y.; Lin F.; Ni Q.; Song P.; Dai X.; Li J.; Wu N.; Li D.; Wang F.-Y.","Zhang, Tengchao (59250401200); Tian, Yonglin (57200618718); Lin, Fei (59154111000); Ni, Qinghua (58565019000); Song, Ping (59250280600); Dai, Xingyuan (57195433080); Li, Juanjuan (54581126500); Wu, Naiqi (7201444208); Li, Dinglie (59250238200); Wang, Fei-Yue (57211758869)","59250401200; 57200618718; 59154111000; 58565019000; 59250280600; 57195433080; 54581126500; 7201444208; 59250238200; 57211758869","Parallel tourism:foundation intelligence driven smart trip services; [平行旅游：基础智能驱动的智慧出游服务]","2024","Chinese Journal of Intelligent Science and Technology","6","2","","164","178","14","2","10.11959/j.issn.2096-6652.202420","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200640476&doi=10.11959%2fj.issn.2096-6652.202420&partnerID=40&md5=28e5b2da6c7a0a495caa0a5790eb1515","Tourism, as an activity that satisfies people’s desire for diverse life experiences and knowledge, has had profound impacts on the economy, culture, and other fields. However, with the rapid development of technologies, such as the Internet of Things and multimodal large language models, traditional tourism is unable to meet the demand for intelligent and personalized travel experiences. To address this, this paper proposes an interactive personalized tourism service system based on the concept of parallel intelligence, utilizing the ACP approach and multimodal large language models. The system constructs a comprehensive tourism model and leverages retrieval-augmented generation and multi-agent collaboration systems to create a new paradigm for personalized tourism services. Additionally, this paper explores the application ecosystem of parallel tourism, expanding the tourism ecosystem from four aspects: clothing, food, accommodation and transportation. This paper analyzes the integration of other industries with personalized tourism services. Parallel tourism is poised to bring new possibilities for the development of the tourism service industry. © 2024 Beijing Xintong Media Co., Ltd.. All rights reserved.","ACP approach; metaverse; multimodal large language models; parallel systems; parallel tourism; retrieval-augmented generation","Beijing Xintong Media Co., Ltd.","Chinese","Article","Final","","Scopus","2-s2.0-85200640476"
"Wu Z.; Xu C.; Wang M.; Ma Y.; Huang Z.; Liu J.; Xiao H.; Zhong L.; Grieco L.A.","Wu, Zhonghui (57220050639); Xu, Changqiao (59797749700); Wang, Mu (56558847100); Ma, Yunxiao (57271150300); Huang, Zicong (59920977500); Liu, Jingtian (58532234600); Xiao, Han (57211270649); Zhong, Lujie (55624828900); Grieco, Luigi Alfredo (57191230771)","57220050639; 59797749700; 56558847100; 57271150300; 59920977500; 58532234600; 57211270649; 55624828900; 57191230771","Blockchain-enabled dispersed computing paradigm in Web 3.0 metaverse","2025","Computer Networks","268","","111378","","","","0","10.1016/j.comnet.2025.111378","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006878090&doi=10.1016%2fj.comnet.2025.111378&partnerID=40&md5=8ce19c6d4144705f7a3c53b3d8e1dece","The metaverse is rapidly gaining momentum, thanks to its inherent capabilities to create an immersive virtual environment that runs in parallel to the physical world. At the same time, it raises new technical challenges due to its unique characteristics. On the one hand, metaverse applications are composed of multiple computing sub-tasks, and performing these sub-tasks sequentially can hinder computational efficiency. On the other hand, current centralized task offloading for metaverse applications is contrary to the core concept of Web 3.0. Moreover, fair incentives for all participants are not fully considered. To address these issues, a new computing paradigm for metaverse is required. Hence, we propose a Blockchain-enabled Intelligent Dispersed Computing Framework (BIDC). In this paper, we first design a two-layered architecture and model the sub-tasks as a directed acyclic graph (DAG) by utilizing their dependent relations. Inspired by the interconnection of blocks in blockchain, BIDC transforms the execution process of sub-tasks into a mining process, cleverly integrating task computation with mining. On this basis, Mining Mechanism and Main Chain Confirmation Mechanisms are presented, to ensure the efficiency of task offloading and the fairness of reward distribution. Then BIDC transforms the overhead time minimization problem into a multi-party mining problem. By leveraging Actor-Critic-based Multi-Agent Reinforcement Learning, every device can dynamically adjust its own mining strategy to achieve the lowest latency. At last, experimental results demonstrate BIDC's reliability, scalability, and superior service quality compared to existing state-of-the-art solutions. © 2025 Elsevier B.V.","Deep reinforcement learning; Edge computing; Task offloading","Elsevier B.V.","English","Article","Final","","Scopus","2-s2.0-105006878090"
"Mao B.; Liu Y.; Liu J.; Kato N.","Mao, Bomin (57192679807); Liu, Yangbo (58335881300); Liu, Jiajia (40461843700); Kato, Nei (7403474407)","57192679807; 58335881300; 40461843700; 7403474407","AI-Assisted Edge Caching for Metaverse of Connected and Automated Vehicles: Proposal, Challenges, and Future Perspectives","2023","IEEE Vehicular Technology Magazine","18","4","","66","74","8","25","10.1109/MVT.2023.3327514","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177038910&doi=10.1109%2fMVT.2023.3327514&partnerID=40&md5=40bc3e0beb9704df3410c7a89c6e87c5","The upcoming metaverse will significantly promote the safety and efficiency of connected and automated vehicles (CAVs) as well as intelligent transportation systems (ITSs) with immersive information exchange between the parallel digital and physical worlds. To enable the virtual world to better reflect the physical world, a great deal of sensed information in types of text, pictures, voice, and videos should be fetched by metaverse applications. Edge caching has been considered to improve transmission quality and data protection by storing the needed contents near users rather than in the cloud. However, qualified edge caching for the metaverse of CAVs (meta-CAVs) and metaverse of ITSs (meta-ITSs) is challenged by ubiquitous mobilities, diversified requirements, dynamic content popularity, and heterogeneous infrastructure. In this article, we elaborate on the requirements and challenges of edge caching for meta-CAVs and meta-ITSs. We then discuss how artificial intelligence (AI) can be used in edge caching to improve the performance and security of meta-CAVs and meta-ITSs. To evaluate our idea, a case study with the Multi-Agent Federated Reinforcement Learning (MAFRL)-based intelligent edge caching is provided. Some perspective research directions are given to illuminate more ideas.  © 2005-2012 IEEE.","","Institute of Electrical and Electronics Engineers Inc.","English","Article","Final","","Scopus","2-s2.0-85177038910"
"Liu Y.; Mao B.; Guo H.; Liu J.","Liu, Yangbo (58335881300); Mao, Bomin (57192679807); Guo, Hongzhi (56446017700); Liu, Jiajia (40461843700)","58335881300; 57192679807; 56446017700; 40461843700","An Intelligent Hierarchical Caching and Asynchronous Updating Scheme for 6G Non-Terrestrial Networks","2024","IEEE Wireless Communications and Networking Conference, WCNC","","","","","","","2","10.1109/WCNC57260.2024.10571311","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198845414&doi=10.1109%2fWCNC57260.2024.10571311&partnerID=40&md5=297156274c6fcebb9c31a58ca52b602f","With the advantages of seamless coverage and ubiq-uitous connections, Non-Terrestrial Networks (NTNs) composed of Low Earth Orbit (LEO) satellites and Unmanned Aerial Vehicles (UAVs) can provide content caching services to reduce End-to-End (E2E) delay and alleviate the network traffic for future 6G applications including autonomous driving, eHealth, and metaverse. However, the ultra-density of LEO satellites complicates the selection of caching nodes, while the heteroge-neous caching hardware and communication environments make optimization of content deployment highly difficult. To address these issues, we propose an intelligent hierarchical caching and asynchronous updating scheme. Specifically, a Delay-Motivated Ant Colony Optimization (DM-ACO) scheme is first adopted to select the caching LEO satellites to reduce the system propagation delay. Then, the Multi-Agent Reinforcement Learning-based Hi-erarchical Caching and Asynchronous Updating (MARL-HCAU) strategy is proposed to meet caching service demands. Simulation results illustrate that compared with the benchmarks, the overall cache hit ratio increases by 14.2 % with the reduced packet drop rate and transmission delay by 8.78 % and 0.94s, respectively.  © 2024 IEEE.","ant colony optimization; hierarchical caching; Non-Terrestrial Networks; reinforcement learning","Institute of Electrical and Electronics Engineers Inc.","English","Conference paper","Final","","Scopus","2-s2.0-85198845414"
"Shi C.; Chang C.-C.; Al-Masri E.; Chen A.C.H.; Wang H.; Zhang Q.; Tseng H.-T.; Shankar K.; Kim T.","Shi, Cheng (58775204900); Chang, Chin-Chen (13310363300); Al-Masri, Eyhab (16306430700); Chen, Abel C. H. (35799698800); Wang, Haishuai (57014141700); Zhang, Qichun (57142941100); Tseng, Hsiao-Ting (56998153300); Shankar, K. (56884031900); Kim, Taehong (56401285500)","58775204900; 13310363300; 16306430700; 35799698800; 57014141700; 57142941100; 56998153300; 56884031900; 56401285500","The 3rd International Workshop on Deep Learning for the Web of Things","2023","ACM Web Conference 2023 - Companion of the World Wide Web Conference, WWW 2023","","","","1257","","","0","10.1145/3543873.3589744","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159598293&doi=10.1145%2f3543873.3589744&partnerID=40&md5=ddb5e557ef893b06491bd446ae4c59b5","Deep learning and the Web of Things (WoT) have become powerful tools for web engineering, leading to increased investigation and publication of research related to deep learning in web engineering. Therefore, this workshop is titled ""The 3rd International Workshop on Deep Learning for the Web of Things""for the Web Conference 2023 (WWW'23). This workshop features five research articles: (1) ""Multiple-Agent Deep Reinforcement Learning for Avatar Migration in Vehicular Metaverses"", (2) ""Web 3.0: Future of the Internet"", (3) ""Weighted Statistically Significant Pattern Mining"", (4) ""DSNet: Efficient Lightweight Model for Video Salient Object Detection for IoT and WoT Applications"", and (5) ""The Human-Centric Metaverse: A Survey"".  © 2023 Owner/Author.","Deep Learning; Internet of Things; Machine learning; Web of Things","Association for Computing Machinery, Inc","English","Conference paper","Final","","Scopus","2-s2.0-85159598293"
"Park J.; Choi J.; Kim S.-L.; Bennis M.","Park, Jihong (57195605503); Choi, Jinho (7501393707); Kim, Seong-Lyun (8626918100); Bennis, Mehdi (23007914800)","57195605503; 7501393707; 8626918100; 23007914800","Enabling the Wireless Metaverse via Semantic Multiverse Communication","2023","Annual IEEE Communications Society Conference on Sensor, Mesh and Ad Hoc Communications and Networks workshops","2023-September","","","85","90","5","10","10.1109/SECON58729.2023.10287438","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177465286&doi=10.1109%2fSECON58729.2023.10287438&partnerID=40&md5=b052572fb2f78ce0694c7ae5726c8daf","Metaverse over wireless networks is an emerging use case of the sixth generation (6G) wireless systems, posing unprecedented challenges in terms of its multi-modal data transmissions with stringent latency and reliability requirements. Towards enabling this wireless metaverse, in this article we propose a novel semantic communication (SC) framework by decomposing the metaverse into human/machine agent-specific semantic multiverses (SMs). An SM stored at each agent comprises a semantic encoder and a generator, leveraging recent advances in generative artificial intelligence (AI). To improve communication efficiency, the encoder learns the semantic representations (SRs) of multi-modal data, while the generator learns how to manipulate them for locally rendering scenes and interactions in the metaverse. Since these learned SMs are biased towards local environments, their success hinges on synchronizing heterogeneous SMs in the background while communicating SRs in the foreground, turning the wireless metaverse problem into the problem of semantic multiverse communication (SMC). Based on this SMC architecture, we propose several promising algorithmic and analytic tools for modeling and designing SMC, ranging from distributed learning and multi-agent reinforcement learning (MARL) to signaling games and symbolic AI. © 2023 IEEE.","extended reality (XR); federated learning; Metaverse; multi-agent reinforcement learning; semantic communication; signaling game; split learning; symbolic artificial intelligence","IEEE Computer Society","English","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85177465286"
